Designator,Mid X,Mid Y,Rotation,Layer
BZ1,118.375167,-100.413272,0.0,top
C1,159.49,-76.7667,90.0,top
C10,143.615,-73.009,0.0,top
C11,146.028,-86.344,270.0,top
C12,132.409349,-74.152,0.0,top
C2,162.792,-94.726,270.0,top
C3,132.82,-97.4495,270.0,top
C4,123.435,-83.169,0.0,top
C5,123.435,-90.916,0.0,top
C6,123.422,-95.107,0.0,top
C7,142.98,-91.805,180.0,top
C8,128.248,-86.725,270.0,top
C9,147.806,-87.233,90.0,top
D1,148.0901,-109.585,0.0,top
D2,155.0751,-109.585,0.0,top
D3,162.025,-109.585,0.0,top
D4,169.01,-109.585,0.0,top
HEADPHONES1,124.565,-112.32,90.0,top
HEADPHONES2,137.2,-112.28,90.0,top
J3,144.885,-65.262,0.0,top
Q1,127.105,-98.155,0.0,top
R1,159.49,-80.375,270.0,top
R10,123.435,-85.074,0.0,top
R11,125.962,-85.836,270.0,top
R12,123.435,-87.995,0.0,top
R13,170.285,-102.41,90.0,top
R14,123.435,-93.075,0.0,top
R15,139.17,-90.535,270.0,top
R16,142.98,-89.265,0.0,top
R17,147.933,-94.726,0.0,top
R18,144.595692,-94.735242,180.0,top
R19,163.3,-102.41,90.0,top
R2,163.681,-87.868,180.0,top
R20,145.266,-70.85,0.0,top
R21,141.964,-70.85,0.0,top
R22,152.124,-82.28,180.0,top
R23,155.299,-82.28,180.0,top
R24,149.076,-70.85,0.0,top
R25,156.315,-70.977,180.0,top
R26,125.962,-101.457,90.0,top
R3,164.57,-84.185,270.0,top
R4,161.903,-91.932,180.0,top
R5,159.617,-96.25,270.0,top
R6,156.315,-97.965,270.0,top
R7,146.79,-102.41,270.0,top
R8,156.315,-102.41,90.0,top
R9,132.82,-101.7045,90.0,top
RV1,164.565,-74.66,90.0,top
RV2,125.2,-74.66,270.0,top
U1,153.775,-87.995,270.0,top
U2,133.455,-87.995,270.0,top
